entreprise;secteur d'activité;région;taille;chiffre d'affaire;fonction
1;20;Wallonie;Grande (> 250 employés);> € 500 Million;Cadre / Dirigeant
2;20;Wallonie;Petite (< 50 employés);< € 50 Million;Cadre / Dirigeant
3;22;Wallonie;Moyenne (< 250 employés);< € 50 Million;Direction générale
4;28;Wallonie;Petite (< 50 employés);< € 50 Million;Direction générale
5;16;Wallonie;Petite (< 50 employés);< € 50 Million;Direction générale
6;25;Wallonie;Petite (< 50 employés);< € 50 Million;Direction générale
7;30;Wallonie;Petite (< 50 employés);< € 50 Million;Direction générale
8;28;Wallonie;Moyenne (< 250 employés);< € 50 Million;Cadre / Dirigeant
9;25;Luxembourg;Grande (> 250 employés);€ 100 Million - € 500 Million;Direction générale
10;22;Luxembourg;Moyenne (< 250 employés);< € 50 Million;Direction générale
11;10;Rheinland-Pfalz;Grande (> 250 employés);€ 100 Million - € 500 Million;Technicien / Ouvrier (spécialisé)
12;10;Rheinland-Pfalz;Moyenne (< 250 employés);< € 50 Million;Technicien / Ouvrier (spécialisé)
13;33;Rheinland-Pfalz;Petite (< 50 employés);< € 50 Million;Direction générale
14;29;Rheinland-Pfalz;Grande (> 250 employés);> € 500 Million;Cadre / Dirigeant
15;30;Autre;Grande (> 250 employés);> € 500 Million;Cadre / Dirigeant
16;28;Rheinland-Pfalz;Grande (> 250 employés);€ 100 Million - € 500 Million;Cadre / Dirigeant
17;27;Rheinland-Pfalz;Grande (> 250 employés);€ 100 Million - € 500 Million;Direction générale
18;28;Rheinland-Pfalz;Grande (> 250 employés);€ 50 Million - € 100 Million;Cadre / Dirigeant
19;28;Saarland;Petite (< 50 employés);< € 50 Million;Cadre / Dirigeant
20;29;Saarland;Grande (> 250 employés);> € 500 Million;Cadre / Dirigeant
21;26;Saarland;Moyenne (< 250 employés);< € 50 Million;Direction générale
22;26;Saarland;Moyenne (< 250 employés);< € 50 Million;Cadre / Dirigeant
23;27;Autre;Grande (> 250 employés);> € 500 Million;Direction générale
24;28;Luxembourg;Moyenne (< 250 employés);< € 50 Million;Direction générale
25;22;Wallonie;Grande (> 250 employés);€ 100 Million - € 500 Million;Ingénieur / Expert métier
26;20;Luxembourg;Moyenne (< 250 employés);< € 50 Million;Direction générale
27;22;Luxembourg;Moyenne (< 250 employés);€ 100 Million - € 500 Million;Direction générale
28;24;Luxembourg;Grande (> 250 employés);€ 100 Million - € 500 Million;Cadre / Dirigeant
29;22;Saarland;Grande (> 250 employés);< € 50 Million;Direction générale
30;22;Lorraine;Petite (< 50 employés);< € 50 Million;Direction générale
31;29;Lorraine;Moyenne (< 250 employés);< € 50 Million;Direction générale
32;23;Lorraine;Petite (< 50 employés);< € 50 Million;Direction générale
33;Autre;Autre;Grande (> 250 employés);€ 50 Million - € 100 Million;Cadre / Dirigeant
34;29;Rheinland-Pfalz;Grande (> 250 employés);> € 500 Million;Direction générale
35;16;Lorraine;Moyenne (< 250 employés);< € 50 Million;Direction générale
36;24;Lorraine;Petite (< 50 employés);< € 50 Million;Direction générale
37;28;Lorraine;Moyenne (< 250 employés);< € 50 Million;Ingénieur / Expert métier
38;28;Lorraine;Moyenne (< 250 employés);< € 50 Million;Technicien / Ouvrier (spécialisé)
39;24;Saarland;Moyenne (< 250 employés);< € 50 Million;Cadre / Dirigeant
40;32;Luxembourg;Grande (> 250 employés);€ 100 Million - € 500 Million;Cadre / Dirigeant
41;Autre;Rheinland-Pfalz;Moyenne (< 250 employés);< € 50 Million;Ingénieur / Expert métier
42;29;Rheinland-Pfalz;Moyenne (< 250 employés);< € 50 Million;Ingénieur / Expert métier
43;Autre;Rheinland-Pfalz;Petite (< 50 employés);< € 50 Million;Direction générale
44;Autre;Wallonie;Petite (< 50 employés);< € 50 Million;Direction générale
45;28;Wallonie;Moyenne (< 250 employés);< € 50 Million;Cadre / Dirigeant
46;23;Wallonie;Petite (< 50 employés);< € 50 Million;Ingénieur / Expert métier
47;27;Wallonie;Moyenne (< 250 employés);< € 50 Million;Direction générale
48;25;Wallonie;Moyenne (< 250 employés);< € 50 Million;Direction générale
49;Autre;Autre;Moyenne (< 250 employés);€ 100 Million - € 500 Million;Cadre / Dirigeant
50;28;Saarland;Grande (> 250 employés);€ 50 Million - € 100 Million;Cadre / Dirigeant
51;Autre;Autre;Moyenne (< 250 employés);< € 50 Million;Technicien / Ouvrier (spécialisé)
52;28;Rheinland-Pfalz;Petite (< 50 employés);< € 50 Million;Cadre / Dirigeant
53;28;Wallonie;Moyenne (< 250 employés);< € 50 Million;Cadre / Dirigeant
54;Autre;Wallonie;Moyenne (< 250 employés);< € 50 Million;Cadre / Dirigeant
55;10;Wallonie;Petite (< 50 employés);< € 50 Million;Direction générale
56;Autre;Autre;Petite (< 50 employés);< € 50 Million;Cadre / Dirigeant
57;20;Wallonie;Moyenne (< 250 employés);€ 50 Million - € 100 Million;Cadre / Dirigeant
58;10;Wallonie;Moyenne (< 250 employés);€ 50 Million - € 100 Million;Cadre / Dirigeant
59;Autre;Lorraine;Moyenne (< 250 employés);< € 50 Million;Cadre / Dirigeant
60;25;Lorraine;Petite (< 50 employés);< € 50 Million;Direction générale
61;29;Lorraine;Moyenne (< 250 employés);< € 50 Million;Direction générale
62;10;Rheinland-Pfalz;Moyenne (< 250 employés);€ 50 Million - € 100 Million;Technicien / Ouvrier (spécialisé)
63;24;Rheinland-Pfalz;Moyenne (< 250 employés);< € 50 Million;Direction générale
64;Autre;Saarland;Moyenne (< 250 employés);< € 50 Million;Direction générale
65;25;Luxembourg;Petite (< 50 employés);< € 50 Million;Ingénieur / Expert métier
66;30;Luxembourg;Moyenne (< 250 employés);< € 50 Million;Direction générale
67;28;Saarland;Grande (> 250 employés);> € 500 Million;Cadre / Dirigeant
